"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
promis_edanx01_1b6567,promis_anxiety_data,,radio,"In the past 7 days
I felt fearful","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,,,,,
promis_edanx05_83daa6,promis_anxiety_data,,radio,"In the past 7 days
I felt anxious","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,,,,,
promis_edanx30_e1cacb,promis_anxiety_data,,radio,"In the past 7 days
I felt worried","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,,,,,
promis_edanx40_0f451f,promis_anxiety_data,,radio,"In the past 7 days
I found it hard to focus on anything other than my anxiety","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,,,,,
promis_edanx46_8c785b,promis_anxiety_data,,radio,"In the past 7 days
I felt nervous","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,,,,,
promis_edanx53_0821a9,promis_anxiety_data,,radio,"In the past 7 days
I felt uneasy","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,,,,,
promis_edanx54_ad6acb,promis_anxiety_data,,radio,"In the past 7 days
I felt tense","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,,,,,,,
date_of_visit,thermal_data,,text,"Date Of Visit",,,date_dmy,,,y,,,,,,,
drug_combination,thermal_data,,dropdown,"Drug Combination ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 19, 19 | 20, 20 | 21, 21 | 22, 22 | 23, 23 | 24, 24","Leave Blank For Baseline Visit (No Drug Cocktail Administered)",,,,,,,,,,,
thermal_combination_1,thermal_data,"Round 1 Sensory Pain Measurements",dropdown,"Thermal Combination 1 ","1, 37 degrees 49 degrees, 51degrees | 2, 37 degrees 51 degrees 49 degrees | 3, 49 degrees 37 degrees 51 degrees | 4, 51 degrees 37 degrees 49 degrees",,,,,,,,,,,,
sensory_pain_measurement_1,thermal_data,,text,"Sensory Pain Measurement 1",,,number,0,10,,,,,,,,
sensory_pain_measurement_3,thermal_data,,text,"Sensory Pain Measurement 2",,,number,0,10,,,,,,,,
sensory_pain_measurement_2,thermal_data,,text,"Sensory Pain Measurement 3",,,number,0,10,,,,,,,,
thermal_combination_2,thermal_data,"Round 2 Affective Pain Measurements",dropdown,"Thermal Combination 2 ","1, 37 degrees 49 degrees, 51degrees | 2, 37 degrees 51 degrees 49 degrees | 3, 49 degrees 37 degrees 51 degrees | 4, 51 degrees 37 degrees 49 degrees",,,,,,,,,,,,
sensory_pain_measurement_4,thermal_data,,text,"Affective Pain Measurement 1",,,number,0,10,,,,,,,,
sensory_pain_measurement_6,thermal_data,,text,"Affective Pain Measurement 2",,,number,0,10,,,,,,,,
sensory_pain_measurement_5,thermal_data,,text,"Affective Pain Measurement 3",,,number,0,10,,,,,,,,
thermal_combination_3,thermal_data,"Round 3 Sensory Pain Measurement",dropdown,"Thermal Combination 3","1, 37 degrees 49 degrees, 51degrees | 2, 37 degrees 51 degrees 49 degrees | 3, 49 degrees 37 degrees 51 degrees | 4, 51 degrees 37 degrees 49 degrees",,,,,,,,,,,,
sensory_pain_measurement_7,thermal_data,,text,"Sensory Pain Measurement 1",,,number,0,10,,,,,,,,
sensory_pain_measurement_9,thermal_data,,text,"Sensory Pain Measurement 2",,,number,0,10,,,,,,,,
sensory_pain_measurement_8,thermal_data,,text,"Sensory Pain Measurement 3",,,number,0,10,,,,,,,,
thermal_combination_4,thermal_data,"Round 4 Affective Pain Measurements",dropdown,"Thermal Combination 4","1, 37 degrees 49 degrees, 51degrees | 2, 37 degrees 51 degrees 49 degrees | 3, 49 degrees 37 degrees 51 degrees | 4, 51 degrees 37 degrees 49 degrees",,,,,,,,,,,,
sensory_pain_measurement_10,thermal_data,,text,"Affective Pain Measurement 1",,,number,0,10,,,,,,,,
sensory_pain_measurement_12,thermal_data,,text,"Affective Pain Measurement 2",,,number,0,10,,,,,,,,
sensory_pain_measurement_11,thermal_data,,text,"Affective Pain Measurement 3",,,number,0,10,,,,,,,,
redness_or_swelling,thermal_data,"ADVERSE EVENT INFORMATION
",dropdown,"Redness or swelling","1, yes | 2, no",,,,,,,,,,,,
disorientation,thermal_data,,dropdown,Disorientation,"1, yes | 2, no",,,,,,,,,,,,
other_adr,thermal_data,,dropdown,"Any physical or mental sensations other than those experienced during heat probe test that you experienced after receiving the drugs today?","1, yes | 2, no",,,,,,,,,,,,
others_describe,thermal_data,,notes,Describe,,,,,,,"[other_adr] = '1'",,,,,,
